 Taxa de analfabetismo - Brasil
Taxa de analfabetismo por Município
Período:2010
"Município";"Taxa_de_analfabetismo"
"220253 CARAUBAS DO PIAUI";42,0
"220255 CARIDADE DO PIAUI";31,3
"220260 CASTELO DO PIAUI";26,7
"220265 CAXINGO";44,4
"220270 COCAL";34,3
"220271 COCAL DE TELHA";32,1
"220272 COCAL DOS ALVES";34,6
"220273 COIVARAS";30,7
"220275 COLONIA DO GURGUEIA";21,8
"220277 COLONIA DO PIAUI";34,6
"220280 CONCEICAO DO CANINDE";27,6
"220285 CORONEL JOSE DIAS";31,0
"220290 CORRENTE";19,3
"220300 CRISTALANDIA DO PIAUI";24,8
"220310 CRISTINO CASTRO";26,6
"220320 CURIMATA";18,8
"220323 CURRAIS";34,5
"220325 CURRALINHOS";32,7
"220327 CURRAL NOVO DO PIAUI";33,4
"220330 DEMERVAL LOBAO";25,2
"220335 DIRCEU ARCOVERDE";28,1
"220340 DOM EXPEDITO LOPES";26,6
"220342 DOMINGOS MOURAO";27,9
"220345 DOM INOCENCIO";23,2
"220350 ELESBAO VELOSO";34,2
"220360 ELISEU MARTINS";20,3
"220370 ESPERANTINA";28,5
"220375 FARTURA DO PIAUI";34,4
"220380 FLORES DO PIAUI";33,1
"220385 FLORESTA DO PIAUI";42,5
"220390 FLORIANO";12,3
"220400 FRANCINOPOLIS";34,5
"220410 FRANCISCO AYRES";28,7
"220415 FRANCISCO MACEDO";36,2
"220420 FRANCISCO SANTOS";26,1
"220430 FRONTEIRAS";27,2
"220435 GEMINIANO";34,3
"220440 GILBUES";24,7
"220450 GUADALUPE";19,5
"220455 GUARIBAS";32,7
"220460 HUGO NAPOLEAO";33,8
"220465 ILHA GRANDE";25,2
"220470 INHUMA";26,2
"220480 IPIRANGA DO PIAUI";22,7
"220490 ISAIAS COELHO";35,1
"220500 ITAINOPOLIS";37,6
"220510 ITAUEIRA";26,6
"220515 JACOBINA DO PIAUI";36,9
"220520 JAICOS";37,9
"220525 JARDIM DO MULATO";29,5
"220527 JATOBA DO PIAUI";29,6
"220530 JERUMENHA";23,8
"220535 JOAO COSTA";28,0
"220540 JOAQUIM PIRES";34,8
"220545 JOCA MARQUES";38,7
"220550 JOSE DE FREITAS";23,8
"220551 JUAZEIRO DO PIAUI";28,2
"220552 JULIO BORGES";16,5
"220553 JUREMA";34,4
"220554 LAGOINHA DO PIAUI";28,9
"220555 LAGOA ALEGRE";31,0
"220556 LAGOA DO BARRO DO PIAUI";25,9
"220557 LAGOA DE SAO FRANCISCO";33,4
"220558 LAGOA DO PIAUI";26,6
"220559 LAGOA DO SITIO";34,0
"220560 LANDRI SALES";26,6
"220570 LUIS CORREIA";28,9
"220580 LUZILANDIA";35,4
"220585 MADEIRO";31,7
"220590 MANOEL EMIDIO";25,3
"220595 MARCOLANDIA";33,3
"220600 MARCOS PARENTE";25,2
"220605 MASSAPE DO PIAUI";42,7
"220610 MATIAS OLIMPIO";32,8
"220620 MIGUEL ALVES";36,5
"220630 MIGUEL LEAO";26,6
"220635 MILTON BRANDAO";34,6
"220640 MONSENHOR GIL";23,9
"220650 MONSENHOR HIPOLITO";33,9
"220660 MONTE ALEGRE DO PIAUI";21,5
"220665 MORRO CABECA NO TEMPO";24,4
"220667 MORRO DO CHAPEU DO PIAUI";34,0
"220669 MURICI DOS PORTELAS";38,1
"220670 NAZARE DO PIAUI";31,2
"220672 NAZARIA";29,2
"220675 NOSSA SENHORA DE NAZARE";22,7
"220680 NOSSA SENHORA DOS REMEDIOS";36,9
"220690 NOVO ORIENTE DO PIAUI";33,7
"220695 NOVO SANTO ANTONIO";36,4
"220700 OEIRAS";23,8
"220710 OLHO D'AGUA DO PIAUI";20,9
"220720 PADRE MARCOS";41,3
"220730 PAES LANDIM";25,9
"220735 PAJEU DO PIAUI";28,9
"220740 PALMEIRA DO PIAUI";25,5
"220750 PALMEIRAIS";31,9
"220755 PAQUETA";42,9
"220760 PARNAGUA";23,8
"220770 PARNAIBA";15,8
"220775 PASSAGEM FRANCA DO PIAUI";37,9
"220777 PATOS DO PIAUI";38,4
"220779 PAU D'ARCO DO PIAUI";32,5
"220780 PAULISTANA";27,5
"220785 PAVUSSU";34,1
"220790 PEDRO II";30,0
"220793 PEDRO LAURENTINO";23,0
"220795 NOVA SANTA RITA";29,0
"220800 PICOS";15,7
"220810 PIMENTEIRAS";37,0
"220820 PIO IX";33,9
"220830 PIRACURUCA";29,2
"220840 PIRIPIRI";24,4
"220850 PORTO";35,3
"220855 PORTO ALEGRE DO PIAUI";25,2
"220860 PRATA DO PIAUI";37,6
"220865 QUEIMADA NOVA";29,3
"220870 REDENCAO DO GURGUEIA";21,3
"220880 REGENERACAO";30,3
"220885 RIACHO FRIO";20,2
"220887 RIBEIRA DO PIAUI";30,6
"220890 RIBEIRO GONCALVES";22,5
"220900 RIO GRANDE DO PIAUI";28,8
"220910 SANTA CRUZ DO PIAUI";34,9
"220915 SANTA CRUZ DOS MILAGRES";34,3
"220920 SANTA FILOMENA";24,3
"220930 SANTA LUZ";26,7
"220935 SANTANA DO PIAUI";31,1
"220937 SANTA ROSA DO PIAUI";31,3
"220940 SANTO ANTONIO DE LISBOA";27,7
"220945 SANTO ANTONIO DOS MILAGRES";26,7
"220950 SANTO INACIO DO PIAUI";29,6
"220955 SAO BRAZ DO PIAUI";29,4
"220960 SAO FELIX DO PIAUI";31,2
"220965 SAO FRANCISCO DE ASSIS DO PIAUI";39,6
"220970 SAO FRANCISCO DO PIAUI";32,1
"220975 SAO GONCALO DO GURGUEIA";24,2
"220980 SAO GONCALO DO PIAUI";24,8
"220985 SAO JOAO DA CANABRAVA";36,6
"220987 SAO JOAO DA FRONTEIRA";36,6
"220990 SAO JOAO DA SERRA";37,8
"220995 SAO JOAO DA VARJOTA";33,3
"220997 SAO JOAO DO ARRAIAL";35,9
"221000 SAO JOAO DO PIAUI";19,6
"221005 SAO JOSE DO DIVINO";35,0
"221010 SAO JOSE DO PEIXE";28,1
"221020 SAO JOSE DO PIAUI";40,1
"221030 SAO JULIAO";37,2
"221035 SAO LOURENCO DO PIAUI";24,1
"221037 SAO LUIS DO PIAUI";33,5
"221038 SAO MIGUEL DA BAIXA GRANDE";38,3
"221039 SAO MIGUEL DO FIDALGO";32,2
"221040 SAO MIGUEL DO TAPUIO";35,6
"221050 SAO PEDRO DO PIAUI";26,6
"221060 SAO RAIMUNDO NONATO";18,9
"221062 SEBASTIAO BARROS";19,6
"221063 SEBASTIAO LEAL";25,9
"221065 SIGEFREDO PACHECO";32,7
"221070 SIMOES";29,6
"221080 SIMPLICIO MENDES";23,3
"221090 SOCORRO DO PIAUI";27,2
"221093 SUSSUAPARA";31,4
"221095 TAMBORIL DO PIAUI";37,6
"221097 TANQUE DO PIAUI";30,5
"221100 TERESINA";8,8
"221110 UNIAO";28,0
"221120 URUCUI";17,0
"221130 VALENCA DO PIAUI";25,5
"221135 VARZEA BRANCA";30,6
"221140 VARZEA GRANDE";32,7
"221150 VERA MENDES";43,7
"221160 VILA NOVA DO PIAUI";29,1
"221170 WALL FERRAZ";35,5
"230010 ABAIARA";28,4
"230015 ACARAPE";21,5
"230020 ACARAU";28,3
"230030 ACOPIARA";32,9
"230040 AIUABA";34,3
"230050 ALCANTARAS";28,3
"230060 ALTANEIRA";33,1
"230070 ALTO SANTO";28,5
"230075 AMONTADA";25,0
"230080 ANTONINA DO NORTE";31,5
"230090 APUIARES";25,2
"230100 AQUIRAZ";20,1
"230110 ARACATI";19,3
"230120 ARACOIABA";29,9
"230125 ARARENDA";34,2
"230130 ARARIPE";31,1
"230140 ARATUBA";24,3
"230150 ARNEIROZ";30,0
"230160 ASSARE";31,3
"230170 AURORA";26,8
"230180 BAIXIO";23,8
"230185 BANABUIU";27,8
"230190 BARBALHA";17,6
"230195 BARREIRA";25,7
"230200 BARRO";23,5
"230205 BARROQUINHA";35,7
"230210 BATURITE";21,8
"230220 BEBERIBE";24,5
"230230 BELA CRUZ";25,1
"230240 BOA VIAGEM";32,3
"230250 BREJO SANTO";21,6
"230260 CAMOCIM";26,3
"230270 CAMPOS SALES";26,8
"230280 CANINDE";23,6
"230290 CAPISTRANO";25,4
"230300 CARIDADE";28,3
"230310 CARIRE";29,0
"230320 CARIRIACU";29,7
"230330 CARIUS";31,4
"230340 CARNAUBAL";29,0
"230350 CASCAVEL";21,4
"230360 CATARINA";30,3
"230365 CATUNDA";26,6
"230370 CAUCAIA";12,4
"230380 CEDRO";28,2
"230390 CHAVAL";31,8
"230393 CHORO";31,6
"230395 CHOROZINHO";27,9
"230400 COREAU";35,7
"230410 CRATEUS";24,5
"230420 CRATO";13,9
"230423 CROATA";35,5
"230425 CRUZ";24,6
"230426 DEPUTADO IRAPUAN PINHEIRO";32,2
"230427 ERERE";30,5
"230428 EUSEBIO";13,3
"230430 FARIAS BRITO";27,1
"230435 FORQUILHA";24,4
"230440 FORTALEZA";6,8
"230445 FORTIM";25,2
"230450 FRECHEIRINHA";32,5
"230460 GENERAL SAMPAIO";31,7
"230465 GRACA";34,5
"230470 GRANJA";39,2
"230480 GRANJEIRO";28,2
"230490 GROAIRAS";24,0
"230495 GUAIUBA";22,5
"230500 GUARACIABA DO NORTE";28,0
"230510 GUARAMIRANGA";17,5
"230520 HIDROLANDIA";28,9
"230523 HORIZONTE";15,3
"230526 IBARETAMA";32,5
"230530 IBIAPINA";23,6
"230533 IBICUITINGA";27,8
"230535 ICAPUI";25,4
"230540 ICO";30,4
"230550 IGUATU";22,2
"230560 INDEPENDENCIA";27,4
"230565 IPAPORANGA";35,6
"230570 IPAUMIRIM";26,3
"230580 IPU";27,6
"230590 IPUEIRAS";30,9
"230600 IRACEMA";25,5
"230610 IRAUCUBA";25,1
"230620 ITAICABA";21,6
"230625 ITAITINGA";16,7
"230630 ITAPAGE";23,0
"230640 ITAPIPOCA";21,9
"230650 ITAPIUNA";28,6
"230655 ITAREMA";24,2
"230660 ITATIRA";29,7
"230670 JAGUARETAMA";27,7
"230680 JAGUARIBARA";25,7
"230690 JAGUARIBE";24,8
"230700 JAGUARUANA";26,7
"230710 JARDIM";26,5
"230720 JATI";25,3
"230725 JIJOCA DE JERICOACOARA";24,2
"230730 JUAZEIRO DO NORTE";15,7
"230740 JUCAS";30,5
"230750 LAVRAS DA MANGABEIRA";26,6
"230760 LIMOEIRO DO NORTE";18,8
"230763 MADALENA";26,3
"230765 MARACANAU";9,4
"230770 MARANGUAPE";15,5
"230780 MARCO";26,9
"230790 MARTINOPOLE";28,3
"230800 MASSAPE";28,0
"230810 MAURITI";28,2
"230820 MERUOCA";17,8
"230830 MILAGRES";25,8
"230835 MILHA";27,1
"230837 MIRAIMA";32,6
"230840 MISSAO VELHA";26,2
"230850 MOMBACA";33,4
"230860 MONSENHOR TABOSA";30,1
"230870 MORADA NOVA";27,1
"230880 MORAUJO";30,2
"230890 MORRINHOS";26,0
"230900 MUCAMBO";31,5
"230910 MULUNGU";22,4
"230920 NOVA OLINDA";21,1
"230930 NOVA RUSSAS";25,2
"230940 NOVO ORIENTE";32,1
"230945 OCARA";29,6
"230950 OROS";29,5
"230960 PACAJUS";18,0
"230970 PACATUBA";9,5
"230980 PACOTI";19,4
"230990 PACUJA";27,7
"231000 PALHANO";26,7
"231010 PALMACIA";26,2
"231020 PARACURU";20,0
"231025 PARAIPABA";18,9
"231030 PARAMBU";36,6
"231040 PARAMOTI";29,3
"231050 PEDRA BRANCA";32,8
"231060 PENAFORTE";23,6
"231070 PENTECOSTE";22,9
"231080 PEREIRO";29,8
"231085 PINDORETAMA";22,3
"231090 PIQUET CARNEIRO";26,4
"231095 PIRES FERREIRA";28,9
"231100 PORANGA";32,2
"231110 PORTEIRAS";29,6
"231120 POTENGI";33,7
"231123 POTIRETAMA";26,6
"231126 QUITERIANOPOLIS";32,2
"231130 QUIXADA";20,9
"231135 QUIXELO";36,9
"231140 QUIXERAMOBIM";23,3
"231150 QUIXERE";25,3
"231160 REDENCAO";23,1
"231170 RERIUTABA";29,5
"231180 RUSSAS";18,8
"231190 SABOEIRO";30,8
"231195 SALITRE";39,3
"231200 SANTANA DO ACARAU";27,0
"231210 SANTANA DO CARIRI";28,0
"231220 SANTA QUITERIA";26,1
"231230 SAO BENEDITO";25,9
"231240 SAO GONCALO DO AMARANTE";17,8
"231250 SAO JOAO DO JAGUARIBE";25,7
"231260 SAO LUIS DO CURU";20,9
"231270 SENADOR POMPEU";25,9
"231280 SENADOR SA";31,1
"231290 SOBRAL";16,4
"231300 SOLONOPOLE";24,7
"231310 TABULEIRO DO NORTE";22,3
"231320 TAMBORIL";30,2
"231325 TARRAFAS";35,9
"231330 TAUA";27,0
"231335 TEJUCUOCA";26,8
"231340 TIANGUA";23,9
"231350 TRAIRI";22,2
"231355 TURURU";27,3
"231360 UBAJARA";23,1
"231370 UMARI";30,8
"231375 UMIRIM";27,7
"231380 URUBURETAMA";22,6
"231390 URUOCA";37,1
"231395 VARJOTA";24,7
"231400 VARZEA ALEGRE";27,2
"231410 VICOSA DO CEARA";31,8
"240010 ACARI";17,5
"240020 ACU";21,3
"240030 AFONSO BEZERRA";30,3
"240040 AGUA NOVA";22,2
"240050 ALEXANDRIA";32,3
"240060 ALMINO AFONSO";24,9
"240070 ALTO DO RODRIGUES";18,9
"240080 ANGICOS";26,5
"240090 ANTONIO MARTINS";30,2
"240100 APODI";21,9
"240110 AREIA BRANCA";13,9
"240120 ARES";24,5
"240130 AUGUSTO SEVERO";28,9
"240140 BAIA FORMOSA";23,3
"240145 BARAUNA";28,7
"240150 BARCELONA";29,0
"240160 BENTO FERNANDES";27,8
"240165 BODO";21,4
"240170 BOM JESUS";32,4
"240180 BREJINHO";30,4
"240185 CAICARA DO NORTE";26,7
"240190 CAICARA DO RIO DO VENTO";26,6
"240200 CAICO";14,7
"240210 CAMPO REDONDO";25,8
"240220 CANGUARETAMA";26,5
"240230 CARAUBAS";25,4
"240240 CARNAUBA DOS DANTAS";15,0
"240250 CARNAUBAIS";24,1
"240260 CEARA-MIRIM";20,7
"240270 CERRO CORA";27,0
"240280 CORONEL EZEQUIEL";29,9
"240290 CORONEL JOAO PESSOA";31,0
"240300 CRUZETA";21,7
"240310 CURRAIS NOVOS";16,9
"240320 DOUTOR SEVERIANO";22,6
"240325 PARNAMIRIM";7,6
"240330 ENCANTO";24,5
"240340 EQUADOR";22,0
"240350 ESPIRITO SANTO";39,0
"240360 EXTREMOZ";15,0
"240370 FELIPE GUERRA";20,6
"240375 FERNANDO PEDROZA";30,9
"240380 FLORANIA";19,9
"240390 FRANCISCO DANTAS";30,1
"240400 FRUTUOSO GOMES";25,5
"240410 GALINHOS";26,8
"240420 GOIANINHA";21,3
"240430 GOVERNADOR DIX-SEPT ROSADO";22,2
"240440 GROSSOS";22,6
"240450 GUAMARE";24,1
"240460 IELMO MARINHO";27,5
"240470 IPANGUACU";28,1
"240480 IPUEIRA";24,4
"240485 ITAJA";26,6
"240490 ITAU";19,9
"240500 JACANA";28,2
"240510 JANDAIRA";30,8
"240520 JANDUIS";27,4
"240530 JANUARIO CICCO";34,1
"240540 JAPI";32,2
"240550 JARDIM DE ANGICOS";26,7
"240560 JARDIM DE PIRANHAS";26,2
"240570 JARDIM DO SERIDO";18,8
"240580 JOAO CAMARA";24,5
"240590 JOAO DIAS";37,6
"240600 JOSE DA PENHA";29,2
"240610 JUCURUTU";30,1
"240615 JUNDIA";34,8
"240620 LAGOA D'ANTA";33,2
"240630 LAGOA DE PEDRAS";34,9
"240640 LAGOA DE VELHOS";25,3
"240650 LAGOA NOVA";27,1
"240660 LAGOA SALGADA";35,2
"240670 LAJES";25,8
"240680 LAJES PINTADAS";27,2
"240690 LUCRECIA";25,1
"240700 LUIS GOMES";28,1
"240710 MACAIBA";21,5
"240720 MACAU";19,4
"240725 MAJOR SALES";28,3
"240730 MARCELINO VIEIRA";29,6
"240740 MARTINS";19,8
"240750 MAXARANGUAPE";20,2
"240760 MESSIAS TARGINO";28,2
"240770 MONTANHAS";31,4
"240780 MONTE ALEGRE";26,6
"240790 MONTE DAS GAMELEIRAS";29,7
"240800 MOSSORO";12,9
"240810 NATAL";7,9
"240820 NISIA FLORESTA";20,7
"240830 NOVA CRUZ";30,3
"240840 OLHO-D'AGUA DO BORGES";34,4
"240850 OURO BRANCO";20,9
"240860 PARANA";33,1
"240870 PARAU";25,8
"240880 PARAZINHO";32,2
"240890 PARELHAS";16,3
"240895 RIO DO FOGO";27,1
"240910 PASSA E FICA";32,2
"240920 PASSAGEM";29,0
"240930 PATU";28,3
"240933 SANTA MARIA";27,0
"240940 PAU DOS FERROS";17,6
"240950 PEDRA GRANDE";24,9
"240960 PEDRA PRETA";23,1
"240970 PEDRO AVELINO";27,4
"240980 PEDRO VELHO";29,6
"240990 PENDENCIAS";21,1
"241000 PILOES";27,5
"241010 POCO BRANCO";29,2
"241020 PORTALEGRE";22,5
"241025 PORTO DO MANGUE";28,6
"241030 SERRA CAIADA";31,9
"241040 PUREZA";27,5
"241050 RAFAEL FERNANDES";23,2
"241060 RAFAEL GODEIRO";23,0
"241070 RIACHO DA CRUZ";26,4
"241080 RIACHO DE SANTANA";28,0
"241090 RIACHUELO";28,3
"241100 RODOLFO FERNANDES";31,0
"241105 TIBAU";22,1
"241110 RUY BARBOSA";28,4
"241120 SANTA CRUZ";23,7
"241140 SANTANA DO MATOS";28,5
"241142 SANTANA DO SERIDO";20,7
"241150 SANTO ANTONIO";28,4
"241160 SAO BENTO DO NORTE";33,4
"241170 SAO BENTO DO TRAIRI";27,0
"241180 SAO FERNANDO";30,8
"241190 SAO FRANCISCO DO OESTE";26,6
"241200 SAO GONCALO DO AMARANTE";13,6
"241210 SAO JOAO DO SABUGI";20,4
"241220 SAO JOSE DE MIPIBU";25,4
"241230 SAO JOSE DO CAMPESTRE";26,4
"241240 SAO JOSE DO SERIDO";14,4
"241250 SAO MIGUEL";28,8
"241255 SAO MIGUEL DO GOSTOSO";26,2
"241260 SAO PAULO DO POTENGI";22,2
"241270 SAO PEDRO";30,1
"241280 SAO RAFAEL";29,3
"241290 SAO TOME";29,9
"241300 SAO VICENTE";23,4
"241310 SENADOR ELOI DE SOUZA";29,5
"241320 SENADOR GEORGINO AVELINO";28,5
"241330 SERRA DE SAO BENTO";34,5
"241335 SERRA DO MEL";24,2
"241340 SERRA NEGRA DO NORTE";26,0
"241350 SERRINHA";28,9
"241355 SERRINHA DOS PINTOS";26,6
"241360 SEVERIANO MELO";27,5
"241370 SITIO NOVO";29,4
"241380 TABOLEIRO GRANDE";24,2
"241390 TAIPU";34,1
"241400 TANGARA";25,9
"241410 TENENTE ANANIAS";26,7
"241415 TENENTE LAURENTINO CRUZ";21,6
"241420 TIBAU DO SUL";20,4
"241430 TIMBAUBA DOS BATISTAS";24,8
"241440 TOUROS";29,6
"241445 TRIUNFO POTIGUAR";28,5
"241450 UMARIZAL";25,1
"241460 UPANEMA";28,8
"241470 VARZEA";30,5
"241475 VENHA-VER";33,0
"241480 VERA CRUZ";31,4
"241490 VICOSA";24,0
"241500 VILA FLOR";24,6
"250010 AGUA BRANCA";27,0
"250020 AGUIAR";37,8
"250030 ALAGOA GRANDE";34,8
"250040 ALAGOA NOVA";27,5
"250050 ALAGOINHA";34,3
"250053 ALCANTIL";29,9
"250057 ALGODAO DE JANDAIRA";30,1
"250060 ALHANDRA";26,7
"250070 SAO JOAO DO RIO DO PEIXE";26,2
"250073 AMPARO";21,5
"250077 APARECIDA";28,5
"250080 ARACAGI";40,7
"250090 ARARA";38,3
"250100 ARARUNA";37,9
"250110 AREIA";30,3
"250115 AREIA DE BARAUNAS";33,8
"250120 AREIAL";26,4
"250130 AROEIRAS";33,9
"250135 ASSUNCAO";25,0
"250140 BAIA DA TRAICAO";24,5
"250150 BANANEIRAS";35,4
"250153 BARAUNA";26,7
"250157 BARRA DE SANTANA";31,5
"250160 BARRA DE SANTA ROSA";37,7
"250170 BARRA DE SAO MIGUEL";23,2
"250180 BAYEUX";15,8
"250190 BELEM";33,7
"250200 BELEM DO BREJO DO CRUZ";38,6
"250205 BERNARDINO BATISTA";30,6
"250210 BOA VENTURA";26,8
"250215 BOA VISTA";14,0
"250220 BOM JESUS";24,6
"250230 BOM SUCESSO";29,5
"250240 BONITO DE SANTA FE";29,1
"250250 BOQUEIRAO";22,1
"250260 IGARACY";32,0
"250270 BORBOREMA";32,6
"250280 BREJO DO CRUZ";30,5
"250290 BREJO DOS SANTOS";26,2
"250300 CAAPORA";23,9
"250310 CABACEIRAS";18,0
"250320 CABEDELO";11,5
"250330 CACHOEIRA DOS INDIOS";26,0
"250340 CACIMBA DE AREIA";26,9
"250350 CACIMBA DE DENTRO";39,5
"250355 CACIMBAS";38,2
"250360 CAICARA";33,6
"250370 CAJAZEIRAS";17,6
"250375 CAJAZEIRINHAS";34,0
"250380 CALDAS BRANDAO";35,4
"250390 CAMALAU";30,7
"250400 CAMPINA GRANDE";11,1
"250403 CAPIM";39,2
"250407 CARAUBAS";18,7
"250410 CARRAPATEIRA";28,0
"250415 CASSERENGUE";42,2
"250420 CATINGUEIRA";35,9
"250430 CATOLE DO ROCHA";22,8
"250435 CATURITE";22,6
"250440 CONCEICAO";32,6
"250450 CONDADO";30,2
"250460 CONDE";20,2
"250470 CONGO";27,4
"250480 COREMAS";32,2
"250485 COXIXOLA";22,8
"250490 CRUZ DO ESPIRITO SANTO";32,2
"250500 CUBATI";27,3
"250510 CUITE";30,7
"250520 CUITEGI";33,8
"250523 CUITE DE MAMANGUAPE";39,8
"250527 CURRAL DE CIMA";40,3
"250530 CURRAL VELHO";35,3
"250535 DAMIAO";39,5
"250540 DESTERRO";24,1
"250550 VISTA SERRANA";27,1
"250560 DIAMANTE";29,9
"250570 DONA INES";38,3
"250580 DUAS ESTRADAS";30,4
"250590 EMAS";29,5
"250600 ESPERANCA";24,6
"250610 FAGUNDES";30,8
"250620 FREI MARTINHO";28,0
"250625 GADO BRAVO";31,9
"250630 GUARABIRA";18,6
"250640 GURINHEM";36,5
"250650 GURJAO";20,8
"250660 IBIARA";38,3
"250670 IMACULADA";28,8
"250680 INGA";35,1
"250690 ITABAIANA";26,8
"250700 ITAPORANGA";23,4
"250710 ITAPOROROCA";32,5
"250720 ITATUBA";36,1
"250730 JACARAU";32,9
"250740 JERICO";28,2
"250750 JOAO PESSOA";7,7
"250760 JUAREZ TAVORA";37,0
"250770 JUAZEIRINHO";25,2
"250780 JUNCO DO SERIDO";20,9
"250790 JURIPIRANGA";34,4
"250800 JURU";33,6
"250810 LAGOA";33,8
"250820 LAGOA DE DENTRO";32,5
"250830 LAGOA SECA";20,9
"250840 LASTRO";32,3
"250850 LIVRAMENTO";21,7
"250855 LOGRADOURO";31,3
"250860 LUCENA";26,5
"250870 MAE D'AGUA";31,6
"250880 MALTA";27,0
"250890 MAMANGUAPE";29,0
"250900 MANAIRA";33,3
"250905 MARCACAO";32,8
"250910 MARI";34,9
"250915 MARIZOPOLIS";27,2
"250920 MASSARANDUBA";29,2
"250930 MATARACA";27,5
"250933 MATINHAS";32,7
"250937 MATO GROSSO";38,9
"250939 MATUREIA";28,2
"250940 MOGEIRO";32,1
"250950 MONTADAS";25,2
"250960 MONTE HOREBE";28,1
"250970 MONTEIRO";26,0
"250980 MULUNGU";34,1
"250990 NATUBA";37,7
"251000 NAZAREZINHO";31,8
"251010 NOVA FLORESTA";29,0
"251020 NOVA OLINDA";31,9
"251030 NOVA PALMEIRA";24,3
"251040 OLHO D'AGUA";32,1
"251050 OLIVEDOS";16,1
"251060 OURO VELHO";22,3
"251065 PARARI";21,1
"251070 PASSAGEM";27,0
"251080 PATOS";18,0
"251090 PAULISTA";30,8
"251100 PEDRA BRANCA";24,7
"251110 PEDRA LAVRADA";26,7
"251120 PEDRAS DE FOGO";28,3
"251130 PIANCO";26,9
"251140 PICUI";24,6
"251150 PILAR";30,7
"251160 PILOES";34,6
"251170 PILOEZINHOS";33,6
"251180 PIRPIRITUBA";28,5
"251190 PITIMBU";26,3
"251200 POCINHOS";24,7
"251203 POCO DANTAS";38,5
"251207 POCO DE JOSE DE MOURA";23,8
"251210 POMBAL";26,3
"251220 PRATA";23,1
"251230 PRINCESA ISABEL";24,7
"251240 PUXINANA";21,0
"251250 QUEIMADAS";20,5
"251260 QUIXABA";24,9
"251270 REMIGIO";29,6
"251272 PEDRO REGIS";41,5
"251274 RIACHAO";32,0
"251275 RIACHAO DO BACAMARTE";34,6
"251276 RIACHAO DO POCO";32,1
"251278 RIACHO DE SANTO ANTONIO";23,9
"251280 RIACHO DOS CAVALOS";33,9
"251290 RIO TINTO";26,9
"251300 SALGADINHO";28,0
"251310 SALGADO DE SAO FELIX";39,7
"251315 SANTA CECILIA";35,8
"251320 SANTA CRUZ";28,1
"251330 SANTA HELENA";25,0
"251335 SANTA INES";32,5
"251340 SANTA LUZIA";19,0
"251350 SANTANA DE MANGUEIRA";37,1
"251360 SANTANA DOS GARROTES";33,7
"251365 JOCA CLAUDINO";32,4
"251370 SANTA RITA";20,0
"251380 SANTA TERESINHA";27,5
"251385 SANTO ANDRE";26,1
"251390 SAO BENTO";32,0
"251392 SAO BENTINHO";30,9
"251394 SAO DOMINGOS DO CARIRI";21,5
"251396 SAO DOMINGOS";37,0
"251398 SAO FRANCISCO";31,2
"251400 SAO JOAO DO CARIRI";19,7
"251410 SAO JOAO DO TIGRE";33,7
"251420 SAO JOSE DA LAGOA TAPADA";42,1
"251430 SAO JOSE DE CAIANA";32,2
"251440 SAO JOSE DE ESPINHARAS";31,3
"251445 SAO JOSE DOS RAMOS";36,4
"251450 SAO JOSE DE PIRANHAS";23,7
"251455 SAO JOSE DE PRINCESA";29,5
"251460 SAO JOSE DO BONFIM";24,0
"251465 SAO JOSE DO BREJO DO CRUZ";27,0
"251470 SAO JOSE DO SABUGI";27,0
"251480 SAO JOSE DOS CORDEIROS";22,9
"251490 SAO MAMEDE";25,1
"251500 SAO MIGUEL DE TAIPU";38,6
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";25,1
"251520 SAO SEBASTIAO DO UMBUZEIRO";26,6
"251530 SAPE";29,9
"251540 SAO VICENTE DO SERIDO";25,4
"251550 SERRA BRANCA";19,3
"251560 SERRA DA RAIZ";32,2
"251570 SERRA GRANDE";28,2
"251580 SERRA REDONDA";31,0
"251590 SERRARIA";41,0
"251593 SERTAOZINHO";27,3
"251597 SOBRADO";33,9
"251600 SOLANEA";28,7
"251610 SOLEDADE";19,8
"251615 SOSSEGO";27,8
"251620 SOUSA";22,5
"251630 SUME";23,3
"251640 TACIMA";31,9
"251650 TAPEROA";26,5
"251660 TAVARES";30,0
"251670 TEIXEIRA";23,6
"251675 TENORIO";28,6
"251680 TRIUNFO";28,0
"251690 UIRAUNA";27,1
"251700 UMBUZEIRO";35,5
"251710 VARZEA";14,8
"251720 VIEIROPOLIS";37,4
"251740 ZABELE";23,8
"260005 ABREU E LIMA";9,9
"260010 AFOGADOS DA INGAZEIRA";20,5
"260020 AFRANIO";24,4
"260030 AGRESTINA";31,3
"260040 AGUA PRETA";32,0
"260050 AGUAS BELAS";39,3
"260060 ALAGOINHA";26,1
"260070 ALIANCA";25,8
"260080 ALTINHO";33,2
"260090 AMARAJI";31,5
"260100 ANGELIM";33,0
"260105 ARACOIABA";23,1
"260110 ARARIPINA";24,8
"260120 ARCOVERDE";16,8
"260130 BARRA DE GUABIRABA";34,5
"260140 BARREIROS";20,7
"260150 BELEM DE MARIA";31,6
"260160 BELEM DE SAO FRANCISCO";20,0
"260170 BELO JARDIM";23,7
"260180 BETANIA";31,5
"260190 BEZERROS";27,1
"260200 BODOCO";27,2
"260210 BOM CONSELHO";32,1
"260220 BOM JARDIM";28,1
"260230 BONITO";32,3
