,Município,Taxa_de_analfabetismo,ano
1712,270600 OLIVENCA,"37,6",2010
1713,270610 OURO BRANCO,"31,3",2010
1714,270620 PALESTINA,"36,5",2010
1715,270630 PALMEIRA DOS INDIOS,"22,9",2010
1716,270640 PAO DE ACUCAR,"29,9",2010
1717,270642 PARICONHA,"29,4",2010
1718,270644 PARIPUEIRA,"23,9",2010
1719,270650 PASSO DE CAMARAGIBE,"32,4",2010
1720,270660 PAULO JACINTO,"30,1",2010
1721,270670 PENEDO,"23,1",2010
1722,270680 PIACABUCU,"30,1",2010
1723,270690 PILAR,"25,0",2010
1724,270700 PINDOBA,"37,5",2010
1725,270710 PIRANHAS,"30,4",2010
1726,270720 POCO DAS TRINCHEIRAS,"33,3",2010
1727,270730 PORTO CALVO,"26,4",2010
1728,270740 PORTO DE PEDRAS,"31,4",2010
1729,270750 PORTO REAL DO COLEGIO,"34,5",2010
1730,270760 QUEBRANGULO,"31,1",2010
1731,270770 RIO LARGO,"17,0",2010
1732,270780 ROTEIRO,"37,2",2010
1733,270790 SANTA LUZIA DO NORTE,"23,3",2010
1734,270800 SANTANA DO IPANEMA,"28,5",2010
1735,270810 SANTANA DO MUNDAU,"39,7",2010
1736,270820 SAO BRAS,"34,3",2010
1737,270830 SAO JOSE DA LAJE,"30,4",2010
1738,270840 SAO JOSE DA TAPERA,"35,1",2010
1739,270850 SAO LUIS DO QUITUNDE,"33,3",2010
1740,270860 SAO MIGUEL DOS CAMPOS,"19,9",2010
1741,270870 SAO MIGUEL DOS MILAGRES,"28,2",2010
1742,270880 SAO SEBASTIAO,"34,8",2010
1743,270890 SATUBA,"17,9",2010
1744,270895 SENADOR RUI PALMEIRA,"35,3",2010
1745,270900 TANQUE D'ARCA,"38,4",2010
1746,270910 TAQUARANA,"37,0",2010
1747,270915 TEOTONIO VILELA,"27,4",2010
1748,270920 TRAIPU,"44,9",2010
1749,270930 UNIAO DOS PALMARES,"31,2",2010
1750,270940 VICOSA,"31,8",2010
1751,280010 AMPARO DE SAO FRANCISCO,"22,8",2010
1752,280020 AQUIDABA,"27,8",2010
1753,280030 ARACAJU,"6,6",2010
1754,280040 ARAUA,"27,8",2010
1755,280050 AREIA BRANCA,"25,3",2010
1756,280060 BARRA DOS COQUEIROS,"12,8",2010
1757,280067 BOQUIM,"23,1",2010
1758,280070 BREJO GRANDE,"31,4",2010
1759,280100 CAMPO DO BRITO,"27,5",2010
1760,280110 CANHOBA,"32,0",2010
1761,280120 CANINDE DE SAO FRANCISCO,"30,8",2010
1762,280130 CAPELA,"22,9",2010
1763,280140 CARIRA,"34,2",2010
1764,280150 CARMOPOLIS,"12,7",2010
1765,280160 CEDRO DE SAO JOAO,"20,9",2010
1766,280170 CRISTINAPOLIS,"28,8",2010
1767,280190 CUMBE,"25,2",2010
1768,280200 DIVINA PASTORA,"23,5",2010
1769,280210 ESTANCIA,"17,6",2010
1770,280220 FEIRA NOVA,"29,4",2010
1771,280230 FREI PAULO,"26,7",2010
1772,280240 GARARU,"30,0",2010
1773,280250 GENERAL MAYNARD,"14,0",2010
1774,280260 GRACHO CARDOSO,"30,2",2010
1775,280270 ILHA DAS FLORES,"23,3",2010
1776,280280 INDIAROBA,"24,1",2010
1777,280290 ITABAIANA,"21,9",2010
1778,280300 ITABAIANINHA,"29,4",2010
1779,280310 ITABI,"29,1",2010
1780,280320 ITAPORANGA D'AJUDA,"25,7",2010
1781,280330 JAPARATUBA,"19,4",2010
1782,280340 JAPOATA,"30,8",2010
1783,280350 LAGARTO,"24,5",2010
1784,280360 LARANJEIRAS,"14,0",2010
1785,280370 MACAMBIRA,"32,3",2010
1786,280380 MALHADA DOS BOIS,"23,2",2010
1787,280390 MALHADOR,"25,0",2010
1788,280400 MARUIM,"17,3",2010
1789,280410 MOITA BONITA,"26,6",2010
1790,280420 MONTE ALEGRE DE SERGIPE,"33,5",2010
1791,280430 MURIBECA,"24,0",2010
1792,280440 NEOPOLIS,"22,8",2010
1793,280445 NOSSA SENHORA APARECIDA,"36,0",2010
1794,280450 NOSSA SENHORA DA GLORIA,"26,2",2010
1795,280460 NOSSA SENHORA DAS DORES,"27,7",2010
1796,280470 NOSSA SENHORA DE LOURDES,"26,9",2010
1797,280480 NOSSA SENHORA DO SOCORRO,"10,6",2010
1798,280490 PACATUBA,"30,1",2010
1799,280500 PEDRA MOLE,"26,3",2010
1800,280510 PEDRINHAS,"26,0",2010
1801,280520 PINHAO,"30,6",2010
1802,280530 PIRAMBU,"18,7",2010
1803,280540 POCO REDONDO,"35,5",2010
1804,280550 POCO VERDE,"29,0",2010
1805,280560 PORTO DA FOLHA,"29,1",2010
1806,280570 PROPRIA,"18,3",2010
1807,280580 RIACHAO DO DANTAS,"29,8",2010
1808,280590 RIACHUELO,"16,6",2010
1809,280600 RIBEIROPOLIS,"26,7",2010
1810,280610 ROSARIO DO CATETE,"13,5",2010
1811,280620 SALGADO,"26,3",2010
1812,280630 SANTA LUZIA DO ITANHY,"32,2",2010
1813,280640 SANTANA DO SAO FRANCISCO,"20,8",2010
1814,280650 SANTA ROSA DE LIMA,"26,2",2010
1815,280660 SANTO AMARO DAS BROTAS,"18,2",2010
1816,280670 SAO CRISTOVAO,"12,3",2010
1817,280680 SAO DOMINGOS,"32,4",2010
1818,280690 SAO FRANCISCO,"28,5",2010
1819,280700 SAO MIGUEL DO ALEIXO,"34,4",2010
1820,280710 SIMAO DIAS,"26,0",2010
1821,280720 SIRIRI,"20,0",2010
1822,280730 TELHA,"28,6",2010
1823,280740 TOBIAS BARRETO,"28,4",2010
1824,280750 TOMAR DO GERU,"32,1",2010
1825,280760 UMBAUBA,"25,2",2010
1826,290010 ABAIRA,"20,1",2010
1827,290020 ABARE,"28,0",2010
1828,290030 ACAJUTIBA,"21,3",2010
1829,290035 ADUSTINA,"34,5",2010
1830,290040 AGUA FRIA,"27,5",2010
1831,290050 ERICO CARDOSO,"29,5",2010
1832,290060 AIQUARA,"23,6",2010
1833,290070 ALAGOINHAS,"9,6",2010
1834,290080 ALCOBACA,"23,8",2010
1835,290090 ALMADINA,"32,2",2010
1836,290100 AMARGOSA,"20,7",2010
1837,290110 AMELIA RODRIGUES,"13,4",2010
1838,290115 AMERICA DOURADA,"26,1",2010
1839,290120 ANAGE,"34,5",2010
1840,290130 ANDARAI,"27,3",2010
1841,290135 ANDORINHA,"23,8",2010
1842,290140 ANGICAL,"24,7",2010
1843,290150 ANGUERA,"23,8",2010
1844,290160 ANTAS,"27,7",2010
1845,290170 ANTONIO CARDOSO,"27,2",2010
1846,290180 ANTONIO GONCALVES,"20,1",2010
1847,290190 APORA,"28,0",2010
1848,290195 APUAREMA,"30,7",2010
1849,290200 ARACATU,"28,9",2010
1850,290205 ARACAS,"22,0",2010
1851,290210 ARACI,"32,1",2010
1852,290220 ARAMARI,"19,1",2010
1853,290225 ARATACA,"33,3",2010
1854,290230 ARATUIPE,"24,3",2010
1855,290240 AURELINO LEAL,"25,3",2010
1856,290250 BAIANOPOLIS,"30,9",2010
1857,290260 BAIXA GRANDE,"23,3",2010
1858,290265 BANZAE,"27,1",2010
1859,290270 BARRA,"22,8",2010
1860,290280 BARRA DA ESTIVA,"15,3",2010
1861,290290 BARRA DO CHOCA,"27,0",2010
1862,290300 BARRA DO MENDES,"13,8",2010
1863,290310 BARRA DO ROCHA,"24,3",2010
1864,290320 BARREIRAS,"10,0",2010
1865,290323 BARRO ALTO,"17,2",2010
1866,290327 BARROCAS,"19,7",2010
1867,290330 BARRO PRETO,"25,7",2010
1868,290340 BELMONTE,"23,8",2010
1869,290350 BELO CAMPO,"26,8",2010
1870,290360 BIRITINGA,"25,2",2010
1871,290370 BOA NOVA,"30,4",2010
1872,290380 BOA VISTA DO TUPIM,"29,4",2010
1873,290390 BOM JESUS DA LAPA,"18,6",2010
1874,290395 BOM JESUS DA SERRA,"26,9",2010
1875,290400 BONINAL,"22,2",2010
1876,290405 BONITO,"19,5",2010
1877,290410 BOQUIRA,"23,8",2010
1878,290420 BOTUPORA,"24,5",2010
1879,290430 BREJOES,"22,8",2010
1880,290440 BREJOLANDIA,"23,2",2010
1881,290450 BROTAS DE MACAUBAS,"21,0",2010
1882,290460 BRUMADO,"14,4",2010
1883,290470 BUERAREMA,"23,7",2010
1884,290475 BURITIRAMA,"24,9",2010
1885,290480 CAATIBA,"31,0",2010
1886,290485 CABACEIRAS DO PARAGUACU,"26,4",2010
1887,290490 CACHOEIRA,"16,1",2010
1888,290500 CACULE,"21,2",2010
1889,290510 CAEM,"25,4",2010
1890,290515 CAETANOS,"29,3",2010
1891,290520 CAETITE,"20,1",2010
1892,290530 CAFARNAUM,"21,7",2010
1893,290540 CAIRU,"15,2",2010
1894,290550 CALDEIRAO GRANDE,"26,7",2010
1895,290560 CAMACAN,"23,1",2010
1896,290570 CAMACARI,"7,3",2010
1897,290580 CAMAMU,"24,6",2010
1898,290590 CAMPO ALEGRE DE LOURDES,"27,9",2010
1899,290600 CAMPO FORMOSO,"24,4",2010
1900,290610 CANAPOLIS,"30,4",2010
1901,290620 CANARANA,"18,7",2010
1902,290630 CANAVIEIRAS,"20,5",2010
1903,290640 CANDEAL,"25,2",2010
1904,290650 CANDEIAS,"8,5",2010
1905,290660 CANDIBA,"25,1",2010
1906,290670 CANDIDO SALES,"24,8",2010
1907,290680 CANSANCAO,"27,6",2010
1908,290682 CANUDOS,"24,6",2010
1909,290685 CAPELA DO ALTO ALEGRE,"27,4",2010
1910,290687 CAPIM GROSSO,"19,2",2010
1911,290689 CARAIBAS,"32,9",2010
1912,290690 CARAVELAS,"26,4",2010
1913,290700 CARDEAL DA SILVA,"21,9",2010
1914,290710 CARINHANHA,"24,5",2010
1915,290720 CASA NOVA,"23,3",2010
1916,290730 CASTRO ALVES,"23,2",2010
1917,290740 CATOLANDIA,"25,3",2010
1918,290750 CATU,"10,5",2010
1919,290755 CATURAMA,"27,4",2010
1920,290760 CENTRAL,"20,0",2010
1921,290770 CHORROCHO,"27,5",2010
1922,290780 CICERO DANTAS,"30,5",2010
1923,290790 CIPO,"22,8",2010
1924,290800 COARACI,"22,4",2010
1925,290810 COCOS,"24,4",2010
1926,290820 CONCEICAO DA FEIRA,"16,0",2010
1927,290830 CONCEICAO DO ALMEIDA,"21,6",2010
1928,290840 CONCEICAO DO COITE,"19,2",2010
1929,290850 CONCEICAO DO JACUIPE,"12,7",2010
1930,290860 CONDE,"23,4",2010
1931,290870 CONDEUBA,"27,0",2010
1932,290880 CONTENDAS DO SINCORA,"25,9",2010
1933,290890 CORACAO DE MARIA,"20,8",2010
1934,290900 CORDEIROS,"24,5",2010
1935,290910 CORIBE,"30,7",2010
1936,290920 CORONEL JOAO SA,"39,6",2010
1937,290930 CORRENTINA,"23,1",2010
1938,290940 COTEGIPE,"28,1",2010
1939,290950 CRAVOLANDIA,"27,0",2010
1940,290960 CRISOPOLIS,"32,3",2010
1941,290970 CRISTOPOLIS,"30,6",2010
1942,290980 CRUZ DAS ALMAS,"10,5",2010
1943,290990 CURACA,"26,9",2010
1944,291000 DARIO MEIRA,"32,5",2010
1945,291005 DIAS D'AVILA,"8,3",2010
1946,291010 DOM BASILIO,"22,3",2010
1947,291020 DOM MACEDO COSTA,"19,3",2010
1948,291030 ELISIO MEDRADO,"23,9",2010
1949,291040 ENCRUZILHADA,"30,3",2010
1950,291050 ENTRE RIOS,"16,9",2010
1951,291060 ESPLANADA,"21,2",2010
1952,291070 EUCLIDES DA CUNHA,"26,5",2010
1953,291072 EUNAPOLIS,"14,6",2010
1954,291075 FATIMA,"36,0",2010
1955,291077 FEIRA DA MATA,"21,9",2010
1956,291080 FEIRA DE SANTANA,"8,7",2010
1957,291085 FILADELFIA,"22,5",2010
1958,291090 FIRMINO ALVES,"25,4",2010
1959,291100 FLORESTA AZUL,"30,9",2010
1960,291110 FORMOSA DO RIO PRETO,"21,0",2010
1961,291120 GANDU,"22,8",2010
1962,291125 GAVIAO,"23,9",2010
1963,291130 GENTIO DO OURO,"21,5",2010
1964,291140 GLORIA,"27,7",2010
1965,291150 GONGOGI,"28,0",2010
1966,291160 GOVERNADOR MANGABEIRA,"16,6",2010
1967,291165 GUAJERU,"30,4",2010
1968,291170 GUANAMBI,"14,6",2010
1969,291180 GUARATINGA,"36,0",2010
1970,291185 HELIOPOLIS,"30,6",2010
1971,291190 IACU,"24,8",2010
1972,291200 IBIASSUCE,"19,9",2010
1973,291210 IBICARAI,"21,1",2010
1974,291220 IBICOARA,"16,1",2010
1975,291230 IBICUI,"24,9",2010
1976,291240 IBIPEBA,"17,0",2010
1977,291250 IBIPITANGA,"27,6",2010
1978,291260 IBIQUERA,"29,5",2010
1979,291270 IBIRAPITANGA,"34,4",2010
1980,291280 IBIRAPUA,"23,0",2010
1981,291290 IBIRATAIA,"30,0",2010
1982,291300 IBITIARA,"23,6",2010
1983,291310 IBITITA,"23,0",2010
1984,291320 IBOTIRAMA,"15,9",2010
1985,291330 ICHU,"15,5",2010
1986,291340 IGAPORA,"18,4",2010
1987,291345 IGRAPIUNA,"26,0",2010
1988,291350 IGUAI,"30,9",2010
1989,291360 ILHEUS,"12,3",2010
1990,291370 INHAMBUPE,"23,3",2010
1991,291380 IPECAETA,"27,3",2010
1992,291390 IPIAU,"20,4",2010
1993,291400 IPIRA,"27,7",2010
1994,291410 IPUPIARA,"15,5",2010
1995,291420 IRAJUBA,"26,6",2010
1996,291430 IRAMAIA,"23,0",2010
1997,291440 IRAQUARA,"17,0",2010
1998,291450 IRARA,"22,5",2010
1999,291460 IRECE,"12,6",2010
2000,291465 ITABELA,"24,5",2010
2001,291470 ITABERABA,"17,2",2010
2002,291480 ITABUNA,"10,1",2010
2003,291490 ITACARE,"23,9",2010
2004,291500 ITAETE,"25,9",2010
2005,291510 ITAGI,"29,3",2010
2006,291520 ITAGIBA,"26,5",2010
2007,291530 ITAGIMIRIM,"26,9",2010
2008,291535 ITAGUACU DA BAHIA,"28,5",2010
2009,291540 ITAJU DO COLONIA,"26,5",2010
2010,291550 ITAJUIPE,"20,9",2010
2011,291560 ITAMARAJU,"22,6",2010
2012,291570 ITAMARI,"25,5",2010
2013,291580 ITAMBE,"26,2",2010
2014,291590 ITANAGRA,"25,8",2010
2015,291600 ITANHEM,"23,8",2010
2016,291610 ITAPARICA,"7,4",2010
2017,291620 ITAPE,"21,5",2010
2018,291630 ITAPEBI,"30,7",2010
2019,291640 ITAPETINGA,"14,6",2010
2020,291650 ITAPICURU,"39,1",2010
2021,291660 ITAPITANGA,"25,6",2010
2022,291670 ITAQUARA,"33,6",2010
2023,291680 ITARANTIM,"23,3",2010
2024,291685 ITATIM,"23,0",2010
2025,291690 ITIRUCU,"24,1",2010
2026,291700 ITIUBA,"25,7",2010
2027,291710 ITORORO,"25,2",2010
2028,291720 ITUACU,"26,4",2010
2029,291730 ITUBERA,"17,8",2010
2030,291733 IUIU,"24,9",2010
2031,291735 JABORANDI,"25,4",2010
2032,291740 JACARACI,"23,8",2010
2033,291750 JACOBINA,"16,6",2010
2034,291760 JAGUAQUARA,"27,3",2010
2035,291770 JAGUARARI,"16,4",2010
2036,291780 JAGUARIPE,"27,9",2010
2037,291790 JANDAIRA,"26,5",2010
2038,291800 JEQUIE,"15,1",2010
2039,291810 JEREMOABO,"32,2",2010
2040,291820 JIQUIRICA,"22,9",2010
2041,291830 JITAUNA,"29,4",2010
2042,291835 JOAO DOURADO,"20,0",2010
2043,291840 JUAZEIRO,"12,8",2010
2044,291845 JUCURUCU,"32,8",2010
2045,291850 JUSSARA,"25,0",2010
2046,291855 JUSSARI,"28,8",2010
2047,291860 JUSSIAPE,"21,9",2010
2048,291870 LAFAIETE COUTINHO,"28,1",2010
2049,291875 LAGOA REAL,"26,3",2010
2050,291880 LAJE,"25,1",2010
2051,291890 LAJEDAO,"24,2",2010
2052,291900 LAJEDINHO,"26,9",2010
2053,291905 LAJEDO DO TABOCAL,"28,3",2010
2054,291910 LAMARAO,"32,7",2010
2055,291915 LAPAO,"18,8",2010
2056,291920 LAURO DE FREITAS,"4,5",2010
2057,291930 LENCOIS,"19,6",2010
2058,291940 LICINIO DE ALMEIDA,"22,4",2010
2059,291950 LIVRAMENTO DE NOSSA SENHORA,"21,7",2010
2060,291955 LUIS EDUARDO MAGALHAES,"7,3",2010
2061,291960 MACAJUBA,"27,2",2010
2062,291970 MACARANI,"28,8",2010
2063,291980 MACAUBAS,"27,7",2010
2064,291990 MACURURE,"25,6",2010
2065,291992 MADRE DE DEUS,"4,9",2010
2066,291995 MAETINGA,"32,6",2010
2067,292000 MAIQUINIQUE,"27,3",2010
2068,292010 MAIRI,"24,3",2010
2069,292020 MALHADA,"25,3",2010
2070,292030 MALHADA DE PEDRAS,"25,4",2010
2071,292040 MANOEL VITORINO,"27,0",2010
2072,292045 MANSIDAO,"15,6",2010
2073,292050 MARACAS,"23,8",2010
2074,292060 MARAGOGIPE,"21,8",2010
2075,292070 MARAU,"28,0",2010
2076,292080 MARCIONILIO SOUZA,"30,9",2010
2077,292090 MASCOTE,"29,2",2010
2078,292100 MATA DE SAO JOAO,"11,4",2010
2079,292105 MATINA,"31,3",2010
2080,292110 MEDEIROS NETO,"23,8",2010
2081,292120 MIGUEL CALMON,"20,6",2010
2082,292130 MILAGRES,"21,4",2010
2083,292140 MIRANGABA,"25,4",2010
2084,292145 MIRANTE,"29,3",2010
2085,292150 MONTE SANTO,"34,6",2010
2086,292160 MORPARA,"27,9",2010
2087,292170 MORRO DO CHAPEU,"22,6",2010
2088,292180 MORTUGABA,"26,3",2010
2089,292190 MUCUGE,"19,4",2010
2090,292200 MUCURI,"17,4",2010
2091,292205 MULUNGU DO MORRO,"21,0",2010
2092,292210 MUNDO NOVO,"21,2",2010
2093,292220 MUNIZ FERREIRA,"20,2",2010
2094,292225 MUQUEM DE SAO FRANCISCO,"25,0",2010
2095,292230 MURITIBA,"17,2",2010
2096,292240 MUTUIPE,"23,8",2010
2097,292250 NAZARE,"19,1",2010
2098,292260 NILO PECANHA,"27,1",2010
2099,292265 NORDESTINA,"29,7",2010
2100,292270 NOVA CANAA,"31,3",2010
2101,292273 NOVA FATIMA,"22,5",2010
2102,292275 NOVA IBIA,"28,5",2010
2103,292280 NOVA ITARANA,"29,5",2010
2104,292285 NOVA REDENCAO,"27,3",2010
2105,292290 NOVA SOURE,"30,8",2010
2106,292300 NOVA VICOSA,"19,1",2010
2107,292303 NOVO HORIZONTE,"20,6",2010
2108,292305 NOVO TRIUNFO,"24,1",2010
2109,292310 OLINDINA,"27,3",2010
2110,292320 OLIVEIRA DOS BREJINHOS,"20,2",2010
2111,292330 OURICANGAS,"25,4",2010
2112,292335 OUROLANDIA,"26,7",2010
2113,292340 PALMAS DE MONTE ALTO,"26,1",2010
2114,292350 PALMEIRAS,"16,8",2010
2115,292360 PARAMIRIM,"18,4",2010
2116,292370 PARATINGA,"23,1",2010
2117,292380 PARIPIRANGA,"25,4",2010
2118,292390 PAU BRASIL,"26,6",2010
2119,292400 PAULO AFONSO,"15,8",2010
2120,292405 PE DE SERRA,"23,8",2010
2121,292410 PEDRAO,"21,8",2010
2122,292420 PEDRO ALEXANDRE,"43,3",2010
2123,292430 PIATA,"25,1",2010
2124,292440 PILAO ARCADO,"27,5",2010
2125,292450 PINDAI,"23,2",2010
2126,292460 PINDOBACU,"22,9",2010
2127,292465 PINTADAS,"25,1",2010
2128,292467 PIRAI DO NORTE,"25,0",2010
2129,292470 PIRIPA,"26,5",2010
2130,292480 PIRITIBA,"19,9",2010
2131,292490 PLANALTINO,"30,1",2010
2132,292500 PLANALTO,"29,4",2010
2133,292510 POCOES,"26,2",2010
2134,292520 POJUCA,"8,9",2010
2135,292525 PONTO NOVO,"24,6",2010
2136,292530 PORTO SEGURO,"11,8",2010
2137,292540 POTIRAGUA,"22,1",2010
2138,292550 PRADO,"19,9",2010
2139,292560 PRESIDENTE DUTRA,"16,1",2010
2140,292570 PRESIDENTE JANIO QUADROS,"33,9",2010
2141,292575 PRESIDENTE TANCREDO NEVES,"27,8",2010
2142,292580 QUEIMADAS,"21,9",2010
2143,292590 QUIJINGUE,"33,6",2010
2144,292593 QUIXABEIRA,"30,2",2010
2145,292595 RAFAEL JAMBEIRO,"30,0",2010
2146,292600 REMANSO,"27,5",2010
2147,292610 RETIROLANDIA,"19,4",2010
2148,292620 RIACHAO DAS NEVES,"30,2",2010
2149,292630 RIACHAO DO JACUIPE,"17,0",2010
2150,292640 RIACHO DE SANTANA,"24,8",2010
2151,292650 RIBEIRA DO AMPARO,"36,2",2010
2152,292660 RIBEIRA DO POMBAL,"25,9",2010
2153,292665 RIBEIRAO DO LARGO,"33,0",2010
2154,292670 RIO DE CONTAS,"21,6",2010
2155,292680 RIO DO ANTONIO,"28,1",2010
2156,292690 RIO DO PIRES,"27,3",2010
2157,292700 RIO REAL,"26,2",2010
2158,292710 RODELAS,"22,0",2010
2159,292720 RUY BARBOSA,"21,9",2010
2160,292730 SALINAS DA MARGARIDA,"12,0",2010
2161,292740 SALVADOR,"3,9",2010
2162,292750 SANTA BARBARA,"21,7",2010
2163,292760 SANTA BRIGIDA,"33,7",2010
2164,292770 SANTA CRUZ CABRALIA,"14,9",2010
2165,292780 SANTA CRUZ DA VITORIA,"26,9",2010
2166,292790 SANTA INES,"27,2",2010
2167,292800 SANTALUZ,"23,5",2010
2168,292805 SANTA LUZIA,"28,9",2010
2169,292810 SANTA MARIA DA VITORIA,"22,8",2010
2170,292820 SANTANA,"25,6",2010
2171,292830 SANTANOPOLIS,"21,6",2010
2172,292840 SANTA RITA DE CASSIA,"20,8",2010
2173,292850 SANTA TERESINHA,"27,6",2010
2174,292860 SANTO AMARO,"12,6",2010
2175,292870 SANTO ANTONIO DE JESUS,"12,1",2010
2176,292880 SANTO ESTEVAO,"21,9",2010
2177,292890 SAO DESIDERIO,"25,5",2010
2178,292895 SAO DOMINGOS,"21,5",2010
2179,292900 SAO FELIX,"14,4",2010
2180,292905 SAO FELIX DO CORIBE,"17,7",2010
2181,292910 SAO FELIPE,"22,8",2010
2182,292920 SAO FRANCISCO DO CONDE,"9,7",2010
2183,292925 SAO GABRIEL,"19,3",2010
2184,292930 SAO GONCALO DOS CAMPOS,"14,4",2010
2185,292935 SAO JOSE DA VITORIA,"26,1",2010
2186,292937 SAO JOSE DO JACUIPE,"29,1",2010
2187,292940 SAO MIGUEL DAS MATAS,"25,0",2010
2188,292950 SAO SEBASTIAO DO PASSE,"13,9",2010
2189,292960 SAPEACU,"15,8",2010
2190,292970 SATIRO DIAS,"27,7",2010
2191,292975 SAUBARA,"13,9",2010
2192,292980 SAUDE,"22,4",2010
2193,292990 SEABRA,"14,4",2010
2194,293000 SEBASTIAO LARANJEIRAS,"24,7",2010
2195,293010 SENHOR DO BONFIM,"15,7",2010
2196,293015 SERRA DO RAMALHO,"24,6",2010
2197,293020 SENTO SE,"24,7",2010
2198,293030 SERRA DOURADA,"24,1",2010
2199,293040 SERRA PRETA,"25,6",2010
2200,293050 SERRINHA,"16,5",2010
2201,293060 SERROLANDIA,"21,6",2010
2202,293070 SIMOES FILHO,"7,9",2010
2203,293075 SITIO DO MATO,"23,2",2010
2204,293076 SITIO DO QUINTO,"35,6",2010
2205,293077 SOBRADINHO,"20,1",2010
2206,293080 SOUTO SOARES,"20,3",2010
2207,293090 TABOCAS DO BREJO VELHO,"28,5",2010
2208,293100 TANHACU,"24,9",2010
2209,293105 TANQUE NOVO,"26,2",2010
2210,293110 TANQUINHO,"19,3",2010
2211,293120 TAPEROA,"26,5",2010
2212,293130 TAPIRAMUTA,"23,1",2010
2213,293135 TEIXEIRA DE FREITAS,"14,0",2010
2214,293140 TEODORO SAMPAIO,"23,1",2010
2215,293150 TEOFILANDIA,"22,5",2010
2216,293160 TEOLANDIA,"30,5",2010
2217,293170 TERRA NOVA,"13,4",2010
2218,293180 TREMEDAL,"29,2",2010
2219,293190 TUCANO,"29,1",2010
2220,293200 UAUA,"22,6",2010
2221,293210 UBAIRA,"29,6",2010
2222,293220 UBAITABA,"19,7",2010
2223,293230 UBATA,"28,0",2010
2224,293240 UIBAI,"14,5",2010
2225,293245 UMBURANAS,"25,2",2010
2226,293250 UNA,"22,4",2010
2227,293260 URANDI,"21,4",2010
2228,293270 URUCUCA,"21,2",2010
2229,293280 UTINGA,"22,3",2010
2230,293290 VALENCA,"18,3",2010
2231,293300 VALENTE,"17,1",2010
2232,293305 VARZEA DA ROCA,"28,6",2010
2233,293310 VARZEA DO POCO,"23,0",2010
2234,293315 VARZEA NOVA,"24,1",2010
2235,293317 VARZEDO,"23,7",2010
2236,293320 VERA CRUZ,"11,3",2010
2237,293325 VEREDA,"30,3",2010
2238,293330 VITORIA DA CONQUISTA,"12,9",2010
2239,293340 WAGNER,"22,8",2010
2240,293345 WANDERLEY,"23,7",2010
2241,293350 WENCESLAU GUIMARAES,"27,1",2010
2242,293360 XIQUE-XIQUE,"22,3",2010
2243,310010 ABADIA DOS DOURADOS,"7,9",2010
2244,310020 ABAETE,"8,0",2010
2245,310030 ABRE CAMPO,"12,0",2010
2246,310040 ACAIACA,"14,3",2010
2247,310050 ACUCENA,"21,2",2010
2248,310060 AGUA BOA,"25,3",2010
2249,310070 AGUA COMPRIDA,"7,9",2010
2250,310080 AGUANIL,"12,9",2010
2251,310090 AGUAS FORMOSAS,"23,8",2010
2252,310100 AGUAS VERMELHAS,"28,5",2010
2253,310110 AIMORES,"13,6",2010
2254,310120 AIURUOCA,"13,0",2010
2255,310130 ALAGOA,"14,0",2010
2256,310140 ALBERTINA,"11,0",2010
2257,310150 ALEM PARAIBA,"5,0",2010
2258,310160 ALFENAS,"5,7",2010
2259,310163 ALFREDO VASCONCELOS,"9,8",2010
2260,310170 ALMENARA,"23,8",2010
2261,310180 ALPERCATA,"15,1",2010
2262,310190 ALPINOPOLIS,"6,6",2010
2263,310200 ALTEROSA,"9,6",2010
2264,310205 ALTO CAPARAO,"11,4",2010
2265,310210 ALTO RIO DOCE,"12,2",2010
2266,310220 ALVARENGA,"19,1",2010
2267,310230 ALVINOPOLIS,"11,7",2010
2268,310240 ALVORADA DE MINAS,"20,3",2010
2269,310250 AMPARO DO SERRA,"15,0",2010
2270,310260 ANDRADAS,"8,3",2010
2271,310270 CACHOEIRA DE PAJEU,"28,3",2010
2272,310280 ANDRELANDIA,"9,6",2010
2273,310285 ANGELANDIA,"26,2",2010
2274,310290 ANTONIO CARLOS,"12,2",2010
2275,310300 ANTONIO DIAS,"14,6",2010
2276,310310 ANTONIO PRADO DE MINAS,"11,6",2010
2277,310320 ARACAI,"9,4",2010
2278,310330 ARACITABA,"13,1",2010
2279,310340 ARACUAI,"15,5",2010
2280,310350 ARAGUARI,"4,9",2010
2281,310360 ARANTINA,"7,3",2010
2282,310370 ARAPONGA,"22,8",2010
2283,310375 ARAPORA,"8,4",2010
2284,310380 ARAPUA,"6,2",2010
2285,310390 ARAUJOS,"7,0",2010
2286,310400 ARAXA,"4,2",2010
2287,310410 ARCEBURGO,"10,1",2010
2288,310420 ARCOS,"5,1",2010
2289,310430 AREADO,"6,9",2010
2290,310440 ARGIRITA,"10,3",2010
2291,310445 ARICANDUVA,"21,7",2010
2292,310450 ARINOS,"13,9",2010
2293,310460 ASTOLFO DUTRA,"7,3",2010
2294,310470 ATALEIA,"24,9",2010
2295,310480 AUGUSTO DE LIMA,"14,7",2010
2296,310490 BAEPENDI,"9,1",2010
2297,310500 BALDIM,"9,5",2010
2298,310510 BAMBUI,"6,6",2010
2299,310520 BANDEIRA,"29,3",2010
2300,310530 BANDEIRA DO SUL,"8,3",2010
2301,310540 BARAO DE COCAIS,"3,6",2010
2302,310550 BARAO DE MONTE ALTO,"16,8",2010
2303,310560 BARBACENA,"5,0",2010
