 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Período:2021
"Município";"Nascim_p/resid.mãe"
"220600 MARCOS PARENTE";63
"220605 MASSAPE DO PIAUI";54
"220610 MATIAS OLIMPIO";174
"220620 MIGUEL ALVES";488
"220630 MIGUEL LEAO";12
"220635 MILTON BRANDAO";75
"220640 MONSENHOR GIL";117
"220650 MONSENHOR HIPOLITO";84
"220660 MONTE ALEGRE DO PIAUI";207
"220665 MORRO CABECA NO TEMPO";76
"220667 MORRO DO CHAPEU DO PIAUI";96
"220669 MURICI DOS PORTELAS";108
"220670 NAZARE DO PIAUI";105
"220672 NAZARIA";148
"220675 NOSSA SENHORA DE NAZARE";55
"220680 NOSSA SENHORA DOS REMEDIOS";136
"220690 NOVO ORIENTE DO PIAUI";50
"220695 NOVO SANTO ANTONIO";34
"220700 OEIRAS";481
"220710 OLHO D'AGUA DO PIAUI";38
"220720 PADRE MARCOS";90
"220730 PAES LANDIM";62
"220735 PAJEU DO PIAUI";31
"220740 PALMEIRA DO PIAUI";87
"220750 PALMEIRAIS";197
"220755 PAQUETA";28
"220760 PARNAGUA";159
"220770 PARNAIBA";2326
"220775 PASSAGEM FRANCA DO PIAUI";50
"220777 PATOS DO PIAUI";62
"220779 PAU D'ARCO DO PIAUI";45
"220780 PAULISTANA";367
"220785 PAVUSSU";45
"220790 PEDRO II";540
"220793 PEDRO LAURENTINO";35
"220795 NOVA SANTA RITA";55
"220800 PICOS";1094
"220810 PIMENTEIRAS";115
"220820 PIO IX";227
"220830 PIRACURUCA";358
"220840 PIRIPIRI";897
"220850 PORTO";239
"220855 PORTO ALEGRE DO PIAUI";44
"220860 PRATA DO PIAUI";33
"220865 QUEIMADA NOVA";109
"220870 REDENCAO DO GURGUEIA";181
"220880 REGENERACAO";253
"220885 RIACHO FRIO";61
"220887 RIBEIRA DO PIAUI";50
"220890 RIBEIRO GONCALVES";100
"220900 RIO GRANDE DO PIAUI";60
"220910 SANTA CRUZ DO PIAUI";67
"220915 SANTA CRUZ DOS MILAGRES";33
"220920 SANTA FILOMENA";95
"220930 SANTA LUZ";65
"220935 SANTANA DO PIAUI";47
"220937 SANTA ROSA DO PIAUI";63
"220940 SANTO ANTONIO DE LISBOA";75
"220945 SANTO ANTONIO DOS MILAGRES";22
"220950 SANTO INACIO DO PIAUI";33
"220955 SAO BRAZ DO PIAUI";61
"220960 SAO FELIX DO PIAUI";30
"220965 SAO FRANCISCO DE ASSIS DO PIAUI";74
"220970 SAO FRANCISCO DO PIAUI";67
"220975 SAO GONCALO DO GURGUEIA";58
"220980 SAO GONCALO DO PIAUI";63
"220985 SAO JOAO DA CANABRAVA";47
"220987 SAO JOAO DA FRONTEIRA";72
"220990 SAO JOAO DA SERRA";64
"220995 SAO JOAO DA VARJOTA";65
"220997 SAO JOAO DO ARRAIAL";153
"221000 SAO JOAO DO PIAUI";361
"221005 SAO JOSE DO DIVINO";71
"221010 SAO JOSE DO PEIXE";39
"221020 SAO JOSE DO PIAUI";82
"221030 SAO JULIAO";74
"221035 SAO LOURENCO DO PIAUI";45
"221037 SAO LUIS DO PIAUI";27
"221038 SAO MIGUEL DA BAIXA GRANDE";21
"221039 SAO MIGUEL DO FIDALGO";42
"221040 SAO MIGUEL DO TAPUIO";194
"221050 SAO PEDRO DO PIAUI";193
"221060 SAO RAIMUNDO NONATO";608
"221062 SEBASTIAO BARROS";42
"221063 SEBASTIAO LEAL";59
"221065 SIGEFREDO PACHECO";115
"221070 SIMOES";196
"221080 SIMPLICIO MENDES";175
"221090 SOCORRO DO PIAUI";48
"221093 SUSSUAPARA";80
"221095 TAMBORIL DO PIAUI";41
"221097 TANQUE DO PIAUI";39
"221100 TERESINA";12375
"221110 UNIAO";700
"221120 URUCUI";440
"221130 VALENCA DO PIAUI";272
"221135 VARZEA BRANCA";87
"221140 VARZEA GRANDE";46
"221150 VERA MENDES";38
"221160 VILA NOVA DO PIAUI";28
"221170 WALL FERRAZ";39
" MUNICIPIO IGNORADO - CE";1
"230010 ABAIARA";147
"230015 ACARAPE";189
"230020 ACARAU";970
"230030 ACOPIARA";552
"230040 AIUABA";163
"230050 ALCANTARAS";153
"230060 ALTANEIRA";111
"230070 ALTO SANTO";188
"230075 AMONTADA";772
"230080 ANTONINA DO NORTE";80
"230090 APUIARES";169
"230100 AQUIRAZ";1151
"230110 ARACATI";941
"230120 ARACOIABA";341
"230125 ARARENDA";132
"230130 ARARIPE";346
"230140 ARATUBA";152
"230150 ARNEIROZ";88
"230160 ASSARE";282
"230170 AURORA";302
"230180 BAIXIO";55
"230185 BANABUIU";226
"230190 BARBALHA";1193
"230195 BARREIRA";300
"230200 BARRO";236
"230205 BARROQUINHA";225
"230210 BATURITE";490
"230220 BEBERIBE";643
"230230 BELA CRUZ";399
"230240 BOA VIAGEM";652
"230250 BREJO SANTO";666
"230260 CAMOCIM";958
"230270 CAMPOS SALES";367
"230280 CANINDE";1078
"230290 CAPISTRANO";220
"230300 CARIDADE";239
"230310 CARIRE";236
"230320 CARIRIACU";375
"230330 CARIUS";156
"230340 CARNAUBAL";276
"230350 CASCAVEL";938
"230360 CATARINA";128
"230365 CATUNDA";85
"230370 CAUCAIA";4979
"230380 CEDRO";254
"230390 CHAVAL";173
"230393 CHORO";170
"230395 CHOROZINHO";261
"230400 COREAU";303
"230410 CRATEUS";951
"230420 CRATO";2083
"230423 CROATA";263
"230425 CRUZ";459
"230426 DEPUTADO IRAPUAN PINHEIRO";86
"230427 ERERE";27
"230428 EUSEBIO";1221
"230430 FARIAS BRITO";241
"230435 FORQUILHA";265
"230440 FORTALEZA";31744
"230445 FORTIM";213
"230450 FRECHEIRINHA";235
"230460 GENERAL SAMPAIO";88
"230465 GRACA";199
"230470 GRANJA";782
"230480 GRANJEIRO";74
"230490 GROAIRAS";122
"230495 GUAIUBA";296
"230500 GUARACIABA DO NORTE";677
"230510 GUARAMIRANGA";86
"230520 HIDROLANDIA";240
"230523 HORIZONTE";1096
"230526 IBARETAMA";169
"230530 IBIAPINA";378
"230533 IBICUITINGA";119
"230535 ICAPUI";204
"230540 ICO";701
"230550 IGUATU";1429
"230560 INDEPENDENCIA";307
"230565 IPAPORANGA";139
"230570 IPAUMIRIM";118
"230580 IPU";647
"230590 IPUEIRAS";471
"230600 IRACEMA";142
"230610 IRAUCUBA";398
"230620 ITAICABA";81
"230625 ITAITINGA";754
"230630 ITAPAGE";630
"230640 ITAPIPOCA";2115
"230650 ITAPIUNA";225
"230655 ITAREMA";708
"230660 ITATIRA";271
"230670 JAGUARETAMA";226
"230680 JAGUARIBARA";116
"230690 JAGUARIBE";415
"230700 JAGUARUANA";369
"230710 JARDIM";392
"230720 JATI";88
"230725 JIJOCA DE JERICOACOARA";377
"230730 JUAZEIRO DO NORTE";3914
"230740 JUCAS";323
"230750 LAVRAS DA MANGABEIRA";338
"230760 LIMOEIRO DO NORTE";705
"230763 MADALENA";178
"230765 MARACANAU";4149
"230770 MARANGUAPE";1219
"230780 MARCO";513
"230790 MARTINOPOLE";187
"230800 MASSAPE";539
"230810 MAURITI";703
"230820 MERUOCA";201
"230830 MILAGRES";350
"230835 MILHA";150
"230837 MIRAIMA";170
"230840 MISSAO VELHA";612
"230850 MOMBACA";461
"230860 MONSENHOR TABOSA";215
"230870 MORADA NOVA";729
"230880 MORAUJO";101
"230890 MORRINHOS";328
"230900 MUCAMBO";158
"230910 MULUNGU";151
"230920 NOVA OLINDA";239
"230930 NOVA RUSSAS";392
"230940 NOVO ORIENTE";357
"230945 OCARA";272
"230950 OROS";211
"230960 PACAJUS";953
"230970 PACATUBA";1029
"230980 PACOTI";131
"230990 PACUJA";72
"231000 PALHANO";105
"231010 PALMACIA";107
"231020 PARACURU";557
"231025 PARAIPABA";426
"231030 PARAMBU";456
"231040 PARAMOTI";100
"231050 PEDRA BRANCA";488
"231060 PENAFORTE";175
"231070 PENTECOSTE";467
"231080 PEREIRO";210
"231085 PINDORETAMA";318
"231090 PIQUET CARNEIRO";156
"231095 PIRES FERREIRA";114
"231100 PORANGA";149
"231110 PORTEIRAS";267
"231120 POTENGI";139
"231123 POTIRETAMA";69
"231126 QUITERIANOPOLIS";236
"231130 QUIXADA";1234
"231135 QUIXELO";175
"231140 QUIXERAMOBIM";1197
"231150 QUIXERE";249
"231160 REDENCAO";399
"231170 RERIUTABA";254
"231180 RUSSAS";925
"231190 SABOEIRO";191
"231195 SALITRE";344
"231200 SANTANA DO ACARAU";392
"231210 SANTANA DO CARIRI";251
"231220 SANTA QUITERIA";499
"231230 SAO BENEDITO";733
"231240 SAO GONCALO DO AMARANTE";823
"231250 SAO JOAO DO JAGUARIBE";50
"231260 SAO LUIS DO CURU";152
"231270 SENADOR POMPEU";286
"231280 SENADOR SA";103
"231290 SOBRAL";2934
"231300 SOLONOPOLE";215
"231310 TABULEIRO DO NORTE";349
"231320 TAMBORIL";338
"231325 TARRAFAS";81
"231330 TAUA";772
"231335 TEJUCUOCA";209
"231340 TIANGUA";1495
"231350 TRAIRI";822
"231355 TURURU";267
"231360 UBAJARA";481
"231370 UMARI";70
"231375 UMIRIM";234
"231380 URUBURETAMA";330
"231390 URUOCA";172
"231395 VARJOTA";258
"231400 VARZEA ALEGRE";454
"231410 VICOSA DO CEARA";991
"240010 ACARI";121
"240020 ACU";697
"240030 AFONSO BEZERRA";116
"240040 AGUA NOVA";38
"240050 ALEXANDRIA";150
"240060 ALMINO AFONSO";52
"240070 ALTO DO RODRIGUES";148
"240080 ANGICOS";124
"240090 ANTONIO MARTINS";72
"240100 APODI";412
"240110 AREIA BRANCA";313
"240120 ARES";180
"240130 AUGUSTO SEVERO";81
"240140 BAIA FORMOSA";117
"240145 BARAUNA";353
"240150 BARCELONA";58
"240160 BENTO FERNANDES";49
"240165 BODO";37
"240170 BOM JESUS";125
"240180 BREJINHO";176
"240185 CAICARA DO NORTE";72
"240190 CAICARA DO RIO DO VENTO";52
"240200 CAICO";704
"240210 CAMPO REDONDO";127
"240220 CANGUARETAMA";494
"240230 CARAUBAS";190
"240240 CARNAUBA DOS DANTAS";92
"240250 CARNAUBAIS";94
"240260 CEARA-MIRIM";1157
"240270 CERRO CORA";143
"240280 CORONEL EZEQUIEL";84
"240290 CORONEL JOAO PESSOA";59
"240300 CRUZETA";88
"240310 CURRAIS NOVOS";468
"240320 DOUTOR SEVERIANO";93
"240325 PARNAMIRIM";3495
"240330 ENCANTO";94
"240340 EQUADOR";69
"240350 ESPIRITO SANTO";113
"240360 EXTREMOZ";640
"240370 FELIPE GUERRA";55
"240375 FERNANDO PEDROZA";41
"240380 FLORANIA";89
"240390 FRANCISCO DANTAS";32
"240400 FRUTUOSO GOMES";56
"240410 GALINHOS";41
"240420 GOIANINHA";493
"240430 GOVERNADOR DIX-SEPT ROSADO";144
"240440 GROSSOS";91
"240450 GUAMARE";274
"240460 IELMO MARINHO";132
"240470 IPANGUACU";201
"240480 IPUEIRA";16
"240485 ITAJA";104
"240490 ITAU";72
"240500 JACANA";100
"240510 JANDAIRA";95
"240520 JANDUIS";49
"240530 JANUARIO CICCO";131
"240540 JAPI";86
"240550 JARDIM DE ANGICOS";34
"240560 JARDIM DE PIRANHAS";140
"240570 JARDIM DO SERIDO";106
"240580 JOAO CAMARA";519
"240590 JOAO DIAS";20
"240600 JOSE DA PENHA";78
"240610 JUCURUTU";215
"240615 JUNDIA";40
"240620 LAGOA D'ANTA";77
"240630 LAGOA DE PEDRAS";101
"240640 LAGOA DE VELHOS";32
"240650 LAGOA NOVA";194
"240660 LAGOA SALGADA";142
"240670 LAJES";117
"240680 LAJES PINTADAS";67
"240690 LUCRECIA";37
"240700 LUIS GOMES";109
"240710 MACAIBA";1006
"240720 MACAU";298
"240725 MAJOR SALES";47
"240730 MARCELINO VIEIRA";115
"240740 MARTINS";94
"240750 MAXARANGUAPE";131
"240760 MESSIAS TARGINO";56
"240770 MONTANHAS";202
"240780 MONTE ALEGRE";271
"240790 MONTE DAS GAMELEIRAS";41
"240800 MOSSORO";3517
"240810 NATAL";10222
"240820 NISIA FLORESTA";401
"240830 NOVA CRUZ";477
"240840 OLHO-D'AGUA DO BORGES";34
"240850 OURO BRANCO";61
"240860 PARANA";53
"240870 PARAU";44
"240880 PARAZINHO";120
"240890 PARELHAS";251
"240895 RIO DO FOGO";158
"240910 PASSA E FICA";160
"240920 PASSAGEM";41
"240930 PATU";107
"240933 SANTA MARIA";78
"240940 PAU DOS FERROS";425
"240950 PEDRA GRANDE";57
"240960 PEDRA PRETA";30
"240970 PEDRO AVELINO";61
"240980 PEDRO VELHO";197
"240990 PENDENCIAS";133
"241000 PILOES";20
"241010 POCO BRANCO";151
"241020 PORTALEGRE";74
"241025 PORTO DO MANGUE";78
"241030 SERRA CAIADA";155
"241040 PUREZA";137
"241050 RAFAEL FERNANDES";60
"241060 RAFAEL GODEIRO";22
"241070 RIACHO DA CRUZ";23
"241080 RIACHO DE SANTANA";37
"241090 RIACHUELO";98
"241100 RODOLFO FERNANDES";56
"241105 TIBAU";81
"241110 RUY BARBOSA";45
"241120 SANTA CRUZ";504
"241140 SANTANA DO MATOS";116
"241142 SANTANA DO SERIDO";29
"241150 SANTO ANTONIO";325
"241160 SAO BENTO DO NORTE";65
"241170 SAO BENTO DO TRAIRI";68
"241180 SAO FERNANDO";31
"241190 SAO FRANCISCO DO OESTE";55
"241200 SAO GONCALO DO AMARANTE";1520
"241210 SAO JOAO DO SABUGI";65
"241220 SAO JOSE DE MIPIBU";721
"241230 SAO JOSE DO CAMPESTRE";133
"241240 SAO JOSE DO SERIDO";56
"241250 SAO MIGUEL";286
"241255 SAO MIGUEL DO GOSTOSO";148
"241260 SAO PAULO DO POTENGI";210
"241270 SAO PEDRO";77
"241280 SAO RAFAEL";75
"241290 SAO TOME";102
"241300 SAO VICENTE";66
"241310 SENADOR ELOI DE SOUZA";97
"241320 SENADOR GEORGINO AVELINO";74
"241330 SERRA DE SAO BENTO";65
"241335 SERRA DO MEL";200
"241340 SERRA NEGRA DO NORTE";73
"241350 SERRINHA";84
"241355 SERRINHA DOS PINTOS";45
"241360 SEVERIANO MELO";68
"241370 SITIO NOVO";54
"241380 TABOLEIRO GRANDE";27
"241390 TAIPU";131
"241400 TANGARA";199
"241410 TENENTE ANANIAS";140
"241415 TENENTE LAURENTINO CRUZ";82
"241420 TIBAU DO SUL";244
"241430 TIMBAUBA DOS BATISTAS";18
"241440 TOUROS";496
"241445 TRIUNFO POTIGUAR";58
"241450 UMARIZAL";101
"241460 UPANEMA";132
"241470 VARZEA";67
"241475 VENHA-VER";46
"241480 VERA CRUZ";199
"241490 VICOSA";20
"241500 VILA FLOR";56
" MUNICIPIO IGNORADO - PB";5
"250010 AGUA BRANCA";132
"250020 AGUIAR";63
"250030 ALAGOA GRANDE";418
"250040 ALAGOA NOVA";309
"250050 ALAGOINHA";230
"250053 ALCANTIL";96
"250057 ALGODAO DE JANDAIRA";58
"250060 ALHANDRA";379
"250070 SAO JOAO DO RIO DO PEIXE";188
"250073 AMPARO";28
"250077 APARECIDA";92
"250080 ARACAGI";226
"250090 ARARA";136
"250100 ARARUNA";245
"250110 AREIA";285
"250115 AREIA DE BARAUNAS";34
"250120 AREIAL";113
"250130 AROEIRAS";235
"250135 ASSUNCAO";60
"250140 BAIA DA TRAICAO";180
"250150 BANANEIRAS";311
"250153 BARAUNA";63
"250157 BARRA DE SANTANA";94
"250160 BARRA DE SANTA ROSA";159
"250170 BARRA DE SAO MIGUEL";97
"250180 BAYEUX";1320
"250190 BELEM";214
"250200 BELEM DO BREJO DO CRUZ";61
"250205 BERNARDINO BATISTA";71
"250210 BOA VENTURA";70
"250215 BOA VISTA";81
"250220 BOM JESUS";32
"250230 BOM SUCESSO";53
"250240 BONITO DE SANTA FE";148
"250250 BOQUEIRAO";265
"250260 IGARACY";64
"250270 BORBOREMA";62
"250280 BREJO DO CRUZ";198
"250290 BREJO DOS SANTOS";73
"250300 CAAPORA";391
"250310 CABACEIRAS";53
"250320 CABEDELO";967
"250330 CACHOEIRA DOS INDIOS";139
"250340 CACIMBA DE AREIA";44
"250350 CACIMBA DE DENTRO";228
"250355 CACIMBAS";165
"250360 CAICARA";78
"250370 CAJAZEIRAS";888
"250375 CAJAZEIRINHAS";45
"250380 CALDAS BRANDAO";75
"250390 CAMALAU";95
"250400 CAMPINA GRANDE";5950
"250403 CAPIM";132
"250407 CARAUBAS";75
"250410 CARRAPATEIRA";30
"250415 CASSERENGUE";82
"250420 CATINGUEIRA";64
"250430 CATOLE DO ROCHA";366
"250435 CATURITE";83
"250440 CONCEICAO";246
"250450 CONDADO";89
"250460 CONDE";525
"250470 CONGO";115
"250480 COREMAS";186
"250485 COXIXOLA";25
"250490 CRUZ DO ESPIRITO SANTO";309
"250500 CUBATI";115
"250510 CUITE";239
"250520 CUITEGI";105
"250523 CUITE DE MAMANGUAPE";115
"250527 CURRAL DE CIMA";82
"250530 CURRAL VELHO";33
"250535 DAMIAO";70
"250540 DESTERRO";145
"250550 VISTA SERRANA";50
"250560 DIAMANTE";83
"250570 DONA INES";139
"250580 DUAS ESTRADAS";53
"250590 EMAS";40
"250600 ESPERANCA";447
"250610 FAGUNDES";157
"250620 FREI MARTINHO";24
"250625 GADO BRAVO";139
"250630 GUARABIRA";784
"250640 GURINHEM";198
"250650 GURJAO";53
"250660 IBIARA";77
"250670 IMACULADA";141
"250680 INGA";242
"250690 ITABAIANA";366
"250700 ITAPORANGA";327
"250710 ITAPOROROCA";275
"250720 ITATUBA";171
"250730 JACARAU";232
"250740 JERICO";83
"250750 JOAO PESSOA";11126
"250760 JUAREZ TAVORA";126
"250770 JUAZEIRINHO";300
"250780 JUNCO DO SERIDO";111
"250790 JURIPIRANGA";204
"250800 JURU";116
"250810 LAGOA";53
"250820 LAGOA DE DENTRO";133
"250830 LAGOA SECA";396
"250840 LASTRO";45
"250850 LIVRAMENTO";88
"250855 LOGRADOURO";32
"250860 LUCENA";224
"250870 MAE D'AGUA";40
"250880 MALTA";90
"250890 MAMANGUAPE";843
"250900 MANAIRA";166
"250905 MARCACAO";176
"250910 MARI";281
"250915 MARIZOPOLIS";77
"250920 MASSARANDUBA";153
"250930 MATARACA";179
"250933 MATINHAS";82
"250937 MATO GROSSO";28
"250939 MATUREIA";132
"250940 MOGEIRO";200
"250950 MONTADAS";107
"250960 MONTE HOREBE";63
"250970 MONTEIRO";486
"250980 MULUNGU";109
"250990 NATUBA";87
"251000 NAZAREZINHO";97
"251010 NOVA FLORESTA";102
"251020 NOVA OLINDA";78
"251030 NOVA PALMEIRA";37
"251040 OLHO D'AGUA";86
"251050 OLIVEDOS";44
"251060 OURO VELHO";38
"251065 PARARI";14
"251070 PASSAGEM";25
"251080 PATOS";1403
"251090 PAULISTA";156
"251100 PEDRA BRANCA";63
"251110 PEDRA LAVRADA";75
"251120 PEDRAS DE FOGO";447
"251130 PIANCO";170
"251140 PICUI";247
"251150 PILAR";209
"251160 PILOES";128
"251170 PILOEZINHOS";97
"251180 PIRPIRITUBA";127
"251190 PITIMBU";294
"251200 POCINHOS";232
"251203 POCO DANTAS";51
"251207 POCO DE JOSE DE MOURA";44
"251210 POMBAL";336
"251220 PRATA";48
"251230 PRINCESA ISABEL";301
"251240 PUXINANA";229
"251250 QUEIMADAS";677
"251260 QUIXABA";19
"251270 REMIGIO";251
"251272 PEDRO REGIS";71
"251274 RIACHAO";37
"251275 RIACHAO DO BACAMARTE";77
"251276 RIACHAO DO POCO";77
"251278 RIACHO DE SANTO ANTONIO";38
"251280 RIACHO DOS CAVALOS";94
"251290 RIO TINTO";416
"251300 SALGADINHO";43
"251310 SALGADO DE SAO FELIX";151
"251315 SANTA CECILIA";127
"251320 SANTA CRUZ";64
"251330 SANTA HELENA";69
"251335 SANTA INES";37
"251340 SANTA LUZIA";198
"251350 SANTANA DE MANGUEIRA";50
"251360 SANTANA DOS GARROTES";72
"251365 JOCA CLAUDINO";18
"251370 SANTA RITA";2275
"251380 SANTA TERESINHA";36
"251385 SANTO ANDRE";28
"251390 SAO BENTO";429
"251392 SAO BENTINHO";54
"251394 SAO DOMINGOS DO CARIRI";32
"251396 SAO DOMINGOS";28
"251398 SAO FRANCISCO";38
"251400 SAO JOAO DO CARIRI";54
"251410 SAO JOAO DO TIGRE";53
"251420 SAO JOSE DA LAGOA TAPADA";71
"251430 SAO JOSE DE CAIANA";93
"251440 SAO JOSE DE ESPINHARAS";56
"251445 SAO JOSE DOS RAMOS";72
"251450 SAO JOSE DE PIRANHAS";241
"251455 SAO JOSE DE PRINCESA";53
"251460 SAO JOSE DO BONFIM";50
"251465 SAO JOSE DO BREJO DO CRUZ";23
"251470 SAO JOSE DO SABUGI";46
"251480 SAO JOSE DOS CORDEIROS";49
"251490 SAO MAMEDE";87
"251500 SAO MIGUEL DE TAIPU";132
"251510 SAO SEBASTIAO DE LAGOA DE ROCA";139
"251520 SAO SEBASTIAO DO UMBUZEIRO";37
"251530 SAPE";624
"251540 SAO VICENTE DO SERIDO";160
"251550 SERRA BRANCA";147
"251560 SERRA DA RAIZ";34
"251570 SERRA GRANDE";54
"251580 SERRA REDONDA";101
"251590 SERRARIA";73
"251593 SERTAOZINHO";78
"251597 SOBRADO";121
"251600 SOLANEA";369
"251610 SOLEDADE";200
"251615 SOSSEGO";57
"251620 SOUSA";995
"251630 SUME";223
"251640 TACIMA";108
"251650 TAPEROA";198
"251660 TAVARES";174
"251670 TEIXEIRA";230
"251675 TENORIO";43
"251680 TRIUNFO";105
"251690 UIRAUNA";168
"251700 UMBUZEIRO";120
"251710 VARZEA";29
"251720 VIEIROPOLIS";36
"251740 ZABELE";31
" MUNICIPIO IGNORADO - PE";19
"260005 ABREU E LIMA";1273
"260010 AFOGADOS DA INGAZEIRA";575
"260020 AFRANIO";241
"260030 AGRESTINA";371
"260040 AGUA PRETA";408
"260050 AGUAS BELAS";702
"260060 ALAGOINHA";182
"260070 ALIANCA";518
"260080 ALTINHO";240
"260090 AMARAJI";268
"260100 ANGELIM";150
"260105 ARACOIABA";327
"260110 ARARIPINA";1616
"260120 ARCOVERDE";1135
"260130 BARRA DE GUABIRABA";158
"260140 BARREIROS";678
"260150 BELEM DE MARIA";136
"260160 BELEM DE SAO FRANCISCO";279
"260170 BELO JARDIM";1119
"260180 BETANIA";178
"260190 BEZERROS";711
"260200 BODOCO";528
"260210 BOM CONSELHO";448
"260220 BOM JARDIM";435
"260230 BONITO";649
"260240 BREJAO";177
"260250 BREJINHO";94
"260260 BREJO DA MADRE DE DEUS";743
"260270 BUENOS AIRES";179
"260280 BUIQUE";850
"260290 CABO DE SANTO AGOSTINHO";2905
"260300 CABROBO";523
"260310 CACHOEIRINHA";336
"260320 CAETES";447
"260330 CALCADO";125
"260340 CALUMBI";97
"260345 CAMARAGIBE";2048
"260350 CAMOCIM DE SAO FELIX";211
"260360 CAMUTANGA";91
"260370 CANHOTINHO";350
"260380 CAPOEIRAS";269
"260390 CARNAIBA";250
"260392 CARNAUBEIRA DA PENHA";272
"260400 CARPINA";1052
"260410 CARUARU";5554
"260415 CASINHAS";156
"260420 CATENDE";454
"260430 CEDRO";155
"260440 CHA DE ALEGRIA";171
"260450 CHA GRANDE";317
"260460 CONDADO";339
"260470 CORRENTES";180
"260480 CORTES";160
"260490 CUMARU";140
"260500 CUPIRA";356
"260510 CUSTODIA";550
"260515 DORMENTES";225
"260520 ESCADA";777
"260530 EXU";416
"260540 FEIRA NOVA";301
"260545 FERNANDO DE NORONHA";26
"260550 FERREIROS";138
"260560 FLORES";272
"260570 FLORESTA";492
"260580 FREI MIGUELINHO";137
"260590 GAMELEIRA";295
"260600 GARANHUNS";2135
"260610 GLORIA DO GOITA";364
"260620 GOIANA";1094
"260630 GRANITO";125
"260640 GRAVATA";1039
"260650 IATI";321
"260660 IBIMIRIM";418
"260670 IBIRAJUBA";109
"260680 IGARASSU";1532
"260690 IGUARACY";136
"260700 INAJA";360
"260710 INGAZEIRA";62
"260720 IPOJUCA";1816
"260730 IPUBI";578
"260740 ITACURUBA";78
"260750 ITAIBA";415
"260760 ILHA DE ITAMARACA";315
"260765 ITAMBE";447
"260770 ITAPETIM";183
"260775 ITAPISSUMA";392
"260780 ITAQUITINGA";195
"260790 JABOATAO DOS GUARARAPES";8660
"260795 JAQUEIRA";148
"260800 JATAUBA";219
"260805 JATOBA";217
"260810 JOAO ALFREDO";343
"260820 JOAQUIM NABUCO";228
"260825 JUCATI";186
"260830 JUPI";306
"260840 JUREMA";189
"260845 LAGOA DO CARRO";236
"260850 LAGOA DE ITAENGA";331
"260860 LAGOA DO OURO";147
"260870 LAGOA DOS GATOS";176
"260875 LAGOA GRANDE";377
"260880 LAJEDO";669
"260890 LIMOEIRO";757
"260900 MACAPARANA";341
"260910 MACHADOS";207
"260915 MANARI";252
"260920 MARAIAL";154
"260930 MIRANDIBA";280
"260940 MORENO";760
"260950 NAZARE DA MATA";406
"260960 OLINDA";4724
"260970 OROBO";293
"260980 OROCO";257
"260990 OURICURI";1049
"261000 PALMARES";841
"261010 PALMEIRINA";93
"261020 PANELAS";369
"261030 PARANATAMA";200
"261040 PARNAMIRIM";263
"261050 PASSIRA";359
"261060 PAUDALHO";818
"261070 PAULISTA";3625
"261080 PEDRA";365
"261090 PESQUEIRA";902
"261100 PETROLANDIA";667
"261110 PETROLINA";6299
"261120 POCAO";160
"261130 POMBOS";369
"261140 PRIMAVERA";164
"261150 QUIPAPA";205
"261153 QUIXABA";95
"261160 RECIFE";18146
"261170 RIACHO DAS ALMAS";285
"261180 RIBEIRAO";459
"261190 RIO FORMOSO";347
"261200 SAIRE";117
"261210 SALGADINHO";66
"261220 SALGUEIRO";982
"261230 SALOA";189
"261240 SANHARO";294
"261245 SANTA CRUZ";211
"261247 SANTA CRUZ DA BAIXA VERDE";153
"261250 SANTA CRUZ DO CAPIBARIBE";1313
"261255 SANTA FILOMENA";205
"261260 SANTA MARIA DA BOA VISTA";648
"261270 SANTA MARIA DO CAMBUCA";190
"261280 SANTA TEREZINHA";122
"261290 SAO BENEDITO DO SUL";151
"261300 SAO BENTO DO UNA";755
"261310 SAO CAITANO";529
"261320 SAO JOAO";329
"261330 SAO JOAQUIM DO MONTE";262
"261340 SAO JOSE DA COROA GRANDE";301
"261350 SAO JOSE DO BELMONTE";495
"261360 SAO JOSE DO EGITO";419
"261370 SAO LOURENCO DA MATA";1489
"261380 SAO VICENTE FERRER";272
"261390 SERRA TALHADA";1485
"261400 SERRITA";279
"261410 SERTANIA";401
"261420 SIRINHAEM";535
"261430 MOREILANDIA";144
"261440 SOLIDAO";76
"261450 SURUBIM";826
"261460 TABIRA";353
"261470 TACAIMBO";180
"261480 TACARATU";330
"261485 TAMANDARE";405
"261500 TAQUARITINGA DO NORTE";390
"261510 TEREZINHA";99
"261520 TERRA NOVA";133
"261530 TIMBAUBA";651
"261540 TORITAMA";644
"261550 TRACUNHAEM";200
"261560 TRINDADE";573
"261570 TRIUNFO";179
"261580 TUPANATINGA";363
"261590 TUPARETAMA";112
"261600 VENTUROSA";284
"261610 VERDEJANTE";129
"261618 VERTENTE DO LERIO";100
"261620 VERTENTES";311
"261630 VICENCIA";356
"261640 VITORIA DE SANTO ANTAO";1915
"261650 XEXEU";235
"270010 AGUA BRANCA";311
"270020 ANADIA";210
"270030 ARAPIRACA";3771
"270040 ATALAIA";623
"270050 BARRA DE SANTO ANTONIO";260
"270060 BARRA DE SAO MIGUEL";147
"270070 BATALHA";297
"270080 BELEM";64
"270090 BELO MONTE";104
"270100 BOCA DA MATA";306
"270110 BRANQUINHA";184
"270120 CACIMBINHAS";160
"270130 CAJUEIRO";268
"270135 CAMPESTRE";107
"270140 CAMPO ALEGRE";491
"270150 CAMPO GRANDE";151
